237,BISHINI,348
238,DOKA,348
239,GIDAN TAGWAI,348
240,GUMEL,348
241,KACHIA URBAN,348
242,KATARI,348
243,KURMIN MUSA,348
244,KWATURU,348
245,SABON SARKI,348
246,BADARAWA,349
247,GABASAWA,349
248,GAJI,349
249,HAYIN BANKI,349
250,KABALA COSTAIN/ DOKI,349
251,KAWO,349
252,MAIBURJI,349
253,SHABA,349
254,UNGUWAN DOSA,349
255,UNGUWAN LIMAN,349
256,UNGUWAN SARKI,349
257,UNGUWAN SHANU,349
258,BADIKO,350
259,BARNAWA,350
260,KAKURI GWARI,350
261,KAKURI HAUSA,350
262,MAKERA,350
263,SABON GARI NORTH,350
264,SABON GARI SOUTH,350
265,TELEVISION,350
266,TUDUN NUWAPA,350
267,TUDUN WADA NORTH,350
268,TUDUN WADA SOUTH,350
269,TUDUN WADA WEST,350
270,UNG. SANUSI,350
271,ARIBI,351
272,IDDAH,351
273,JERE NORTH,351
274,JERE SOUTH,351
275,KAGARKO NORTH,351
276,KAGARKO SOUTH,351
277,KATUGAL,351
278,KUKUI,351
279,KURMIN JIBRIN,351
280,KUSHE,351
281,AFOGO,352
282,BUDA,352
283,IDON,352
284,KAJURU,352
285,KALLAH,352
286,KASUWAN MAGANI,352
287,KUFANA,352
288,MARO,352
289,RIMAU,352
290,TANTATU,352
291,AGBAN,353
292,BONDON,353
293,FADA,353
294,KADARKO,353
295,KAURA,353
296,KPAK,353
297,KUKUM,353
298,MALLAGUM,353
299,MANCHOK,353
300,ZANKAN,353
301,BADURUM SAMA,354
302,BITAL,354
303,DAMAKASUWA,354
304,DAWAKI,354
305,GESHERE,354
306,KAMARU,354
307,KAURU EAST,354
308,KAURU WEST,354
309,KWASSAM,354
310,MAKAMI,354
311,PARI,354
312,ANCHAU,355
313,DAMAU,355
314,DUTSEN WAI,355
315,HASKIYA,355
316,KARGI,355
317,KARREH,355
318,KUBAU,355
319,MAH,355
320,PAMBEGUA,355
321,ZABI,355
322,ZUNTU,355
323,DOKA,356
324,GARU,356
325,HUNKUYI,356
326,KAURAN WALI NORTH,356
327,KAURAN WALI SOUTH,356
328,KUDAN,356
329,LIKORO,356
330,SABON GARI HUNKUYI,356
331,TABAN SANI,356
332,ZABI,356
333,ABADAWA,357
334,DAN ALHAJI,357
335,GARU,357
336,GURE/KAHUGU,357
337,KAYARDA,357
338,LAZURU,357
339,LERE,357
340,RAMIN KURA,357
341,SABON BIRNIN,357
342,SAMINAKA,357
343,YAR KASUWA,357
344,DANDAMISA,358
345,DANGUZIRI,358
346,GAZARA,358
347,GIMI,358
348,GUBUCHI,358
349,GWANKI,358
350,MAKARFI,358
351,MAYERE,358
352,NASSARWAN DOYA,358
353,TUDUN WADA,358
354,BASAWA,359
355,BOMO,359
356,CHIKAJI,359
357,DOGARAWA,359
358,HANWA,359
359,JAMAA,359
360,JUSHIN WAJE,359
361,MUCHIA,359
362,SAMARU,359
363,UNGUWAN GABAS,359
364,ZABI,359
365,ABORO,360
366,ARAK,360
367,AYU,360
368,BOKANA,360
369,FADAN KARSHI,360
370,GWANTU,360
371,NANDU,360
372,NINZAM NORTH,360
373,NINZAM SOUTH,360
374,NINZAM WEST,360
375,WASA STATION,360
376,DAN WATA,361
